10419;VILLEMOYENNE;10260;;VILLEMOYENNE;48.1878192236,4.24708790908
11109;COUSTAUSSA;11190;;COUSTAUSSA;42.9367588935,2.28608186295
02674;ST CLEMENT;02360;;ST CLEMENT;49.7752799579,4.07288901165
10420;VILLENAUXE LA GRANDE;10370;;VILLENAUXE LA GRANDE;48.5945779935,3.5477753332
11113;CUCUGNAN;11350;;CUCUGNAN;42.8512642371,2.60941588614
02677;ST EUGENE;02330;;ST EUGENE;49.0155450781,3.51721331428
10430;VILLIERS HERBISSE;10700;;VILLIERS HERBISSE;48.6429563975,4.122661962
11124;DURBAN CORBIERES;11360;;DURBAN CORBIERES;42.9976164909,2.81275011537
02688;ST PIERRE LES FRANQUEVILLE;02140;;ST PIERRE LES FRANQUEVILLE;49.824528104,3.81406121819
10431;VILLIERS LE BOIS;10210;;VILLIERS LE BOIS;47.9552225736,4.19042875753
11132;FABREZAN;11200;;FABREZAN;43.1259965939,2.70495303156
02691;ST QUENTIN;02100;;ST QUENTIN;49.8472336321,3.27769499462
10436;VINETS;10700;;VINETS;48.5452188766,4.22519162033
11134;FAJAC LA RELENQUE;11410;;FAJAC LA RELENQUE;43.2824532203,1.72705539612
02713;SERINGES ET NESLES;02130;;SERINGES ET NESLES;49.2116537607,3.55885016448
10444;VULAINES;10160;;VULAINES;48.2404690972,3.62649011278
11138;FENDEILLE;11400;;FENDEILLE;43.2708066932,1.94828248478
02714;SERMOISE;02220;;SERMOISE;49.3724753933,3.44697180612
11002;AIROUX;11320;;AIROUX;43.3676910136,1.87455000904
11144;FITOU;11510;;FITOU;42.8959362575,2.96671997397
02717;SERY LES MEZIERES;02240;;SERY LES MEZIERES;49.7647253763,3.42321314919
11003;AJAC;11300;;AJAC;43.0449880503,2.13672463655
11148;FONTCOUVERTE;11700;;FONTCOUVERTE;43.1679703026,2.68609403746
02721;SISSY;02240;;SISSY;49.8106555228,3.42084647603
11004;ALAIGNE;11240;;ALAIGNE;43.0978286628,2.09203368421
11151;FONTIES D AUDE;11800;;FONTIES D AUDE;43.1874440297,2.45756099074
02722;SOISSONS;02200;;SOISSONS;49.3791742979,3.32471758491
11005;ALAIRAC;11290;;ALAIRAC;43.1820306523,2.2370439206
11154;FOURNES CABARDES;11600;;FOURNES CABARDES;43.3569463468,2.40965154801
02724;SOMMELANS;02470;;SOMMELANS;49.135392,3.29302303663
11006;ALBAS;11360;;ALBAS;43.0056644881,2.7267548127
11156;FRAISSE CABARDES;11600;;FRAISSE CABARDES;43.3295843066,2.27147589687
02726;SOMMETTE EAUCOURT;02480;;SOMMETTE EAUCOURT;49.727418066,3.11947808471
11009;ALZONNE;11170;;ALZONNE;43.2652998624,2.17459434048
11159;GAJA LA SELVE;11270;;GAJA LA SELVE;43.2002672406,1.88364731098
02727;SONS ET RONCHERES;02270;;SONS ET RONCHERES;49.7689463972,3.66761782458
11017;ARTIGUES;11140;;ARTIGUES;42.7912861146,2.20717290807
11161;GARDIE;11250;;GARDIE;43.0747878075,2.2989044146
02730;SOUPIR;02160;;SOUPIR;49.4106784751,3.59989736789
11020;AURIAC;11330;;AURIAC;42.9256351469,2.4945438405
11165;GINOLES;11500;;GINOLES;42.864787536,2.15713578249
02731;LE SOURD;02140;;LE SOURD;49.8656956341,3.75208012539
11039;LA BEZOLE;11300;;LA BEZOLE;43.0291058072,2.09555791235
11166;GOURVIEILLE;11410;;GOURVIEILLE;43.3362096434,1.78856389792
02732;SURFONTAINE;02240;;SURFONTAINE;49.7471421081,3.47979315066
11046;BOURIGEOLE;11300;;BOURIGEOLE;42.9855167789,2.12392685607
11173;HOUNOUX;11240;;HOUNOUX;43.1333954781,2.00312155493
02738;TERGNIER;02700;FARGNIERS;TERGNIER;49.6572646109,3.29924077478
11051;BREZILHAC;11270;;BREZILHAC;43.1675996324,2.07535870975
11181;LABECEDE LAURAGAIS;11400;;LABECEDE LAURAGAIS;43.3964166976,2.01100168074
02738;TERGNIER;02700;QUESSY;TERGNIER;49.6572646109,3.29924077478
11056;CABRESPINE;11160;;CABRESPINE;43.3764538568,2.47186785708
11182;LACOMBE;11310;;LACOMBE;43.4060884767,2.24016063772
02741;THENELLES;02390;;THENELLES;49.8314948078,3.45894075748
11061;CAMBIEURE;11240;;CAMBIEURE;43.1266480601,2.12787543715
11193;LASSERRE DE PROUILLE;11270;;LASSERRE DE PROUILLE;43.1807085123,2.08506229435
02747;TREFCON;02490;;TREFCON;49.859082365,3.08864647254
11068;CAPENDU;11700;;CAPENDU;43.1836102247,2.5538350475
11195;LAURABUC;11400;;LAURABUC;43.2605975976,1.99494391094
02751;TRUCY;02860;;TRUCY;49.472149818,3.61092318317
11069;CARCASSONNE;11000;;CARCASSONNE;43.2093798444,2.34398855385
11199;LAVALETTE;11290;;LAVALETTE;43.1922487019,2.27058563177
02753;TUPIGNY;02120;;TUPIGNY;49.9705608416,3.59399622464
11073;CASSAIGNES;11190;;CASSAIGNES;42.9479700119,2.29713238713
11200;LESPINASSIERE;11160;;LESPINASSIERE;43.4088985719,2.54776717601
02755;URCEL;02000;;URCEL;49.4940437763,3.55713233917
11074;LES CASSES;11320;;LES CASSES;43.4266610754,1.86444537803
11201;LEUC;11250;;LEUC;43.1412292044,2.33961454504
02757;VADENCOURT;02120;LONGCHAMPS;VADENCOURT;49.9229771613,3.57386118846
11082;CAUNETTE SUR LAUQUET;11250;;CAUNETTE SUR LAUQUET;43.027894163,2.42690541874
11204;LIGNAIROLLES;11240;;LIGNAIROLLES;43.0945401019,2.00127253702
02760;LA VALLEE MULATRE;02110;;LA VALLEE MULATRE;50.0255708699,3.56063329937
11090;CEPIE;11300;;CEPIE;43.1079654901,2.23811930779
11208;LA LOUVIERE LAURAGAIS;11410;;LA LOUVIERE LAURAGAIS;43.2673283014,1.75078785936
02761;VARISCOURT;02190;;VARISCOURT;49.4148891865,3.98066282251
11091;CHALABRE;11230;;CHALABRE;42.9817651679,2.01049024009
11210;LUC SUR ORBIEU;11200;;LUC SUR ORBIEU;43.1757442805,2.78804456863
02766;VAUDESSON;02320;;VAUDESSON;49.4750001736,3.48695975523
11094;CLERMONT SUR LAUQUET;11250;;CLERMONT SUR LAUQUET;43.0464846976,2.4293167495
11225;MAS SAINTES PUELLES;11400;;MAS SAINTES PUELLES;43.314008864,1.87769752208
02768;VAUXAILLON;02320;;VAUXAILLON;49.4770651148,3.40823751638
11095;COMIGNE;11700;;COMIGNE;43.1656693314,2.58551535137
11243;MONTFERRAND;11320;;MONTFERRAND;43.368751028,1.82823175156
02790;VESLES ET CAUMONT;02350;;VESLES ET CAUMONT;49.6750932677,3.78950879053
11104;COUNOZOULS;11140;;COUNOZOULS;42.701706795,2.23007242592
11249;MONTJARDIN;11230;;MONTJARDIN;42.9795968014,2.05064516411
02795;VIC SUR AISNE;02290;;VIC SUR AISNE;49.410747629,3.10912550549
11110;COUSTOUGE;11220;;COUSTOUGE;43.0570093399,2.74399307866
11252;MONTMAUR;11320;;MONTMAUR;43.4003889656,1.84463626478
02797;VIEL ARCY;02160;;VIEL ARCY;49.3789345254,3.62589443596
11114;CUMIES;11410;;CUMIES;43.2996308196,1.83222991092
11257;MONZE;11800;;MONZE;43.1532561314,2.46648904534
02799;VIERZY;02210;;VIERZY;49.2868570454,3.27759490696
11115;CUXAC CABARDES;11390;;CUXAC CABARDES;43.3915075028,2.2785219316
11258;MOUSSAN;11120;;MOUSSAN;43.2305950634,2.95635636294
02800;VIFFORT;02540;;VIFFORT;48.9576165601,3.46972594402
11116;CUXAC D AUDE;11590;;CUXAC D AUDE;43.2578013318,3.00547549948
11263;NEBIAS;11500;;NEBIAS;42.8902940685,2.10479303783
02808;VILLERET;02420;;VILLERET;49.9494418046,3.18749892652
11119;LA DIGNE D AMONT;11300;;LA DIGNE D AMONT;43.0391924198,2.16079139515
11268;ORSANS;11270;;ORSANS;43.1546289109,1.97945728495
02810;VILLERS COTTERETS;02600;;VILLERS COTTERETS;49.2392000574,3.09612191097
11122;DOUZENS;11700;;DOUZENS;43.1792686737,2.61186266424
11269;OUVEILLAN;11590;;OUVEILLAN;43.2931875374,2.96999154918
02813;VILLERS LE SEC;02240;;VILLERS LE SEC;49.7711456702,3.50490696746
11126;ESCALES;11200;;ESCALES;43.2228544112,2.70834893328
11271;PALAIRAC;11330;;PALAIRAC;42.9574272598,2.65821174317
02814;VILLERS LES GUISE;02120;;VILLERS LES GUISE;49.9255661982,3.68241664598
11130;ESPEZEL;11340;;ESPEZEL;42.8429058129,2.02561550138
11273;PARAZA;11200;;PARAZA;43.2596066026,2.81616059215
02820;VIRY NOUREUIL;02300;;VIRY NOUREUIL;49.6385456387,3.24823591959
11135;LA FAJOLLE;11140;;LA FAJOLLE;42.7525421686,1.96514650646
11279;PENNAUTIER;11610;;PENNAUTIER;43.2513741105,2.31315453913
02821;VIVAISE;02870;;VIVAISE;49.6228688465,3.56431943267
11139;FENOUILLET DU RAZES;11240;;FENOUILLET DU RAZES;43.1559454776,2.02984840412
11286;PEYRIAC MINERVOIS;11160;;PEYRIAC MINERVOIS;43.2937181047,2.56669298957
02828;VREGNY;02880;;VREGNY;49.4140619853,3.4197356356
11141;FERRAN;11240;;FERRAN;43.1530485554,2.09024312493
11291;PLAVILLA;11270;;PLAVILLA;43.1414188507,1.90688009289
