Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
04115;MEAILLES;04240;;MEAILLES;44.0401459693,6.64532905257
04242;VILLENEUVE;04180;;VILLENEUVE;43.8957056864,5.85732128727
04122;MIRABEAU;04510;;MIRABEAU;44.0562295958,6.08015931568
05008;ASPREMONT;05140;;ASPREMONT;44.4929345499,5.72022682239
04140;LES OMERGUES;04200;;LES OMERGUES;44.1527454808,5.5893705894
05013;BARCILLONNETTE;05110;;BARCILLONNETTE;44.4300646552,5.90582685015
04144;LA PALUD SUR VERDON;04120;;LA PALUD SUR VERDON;43.796648297,6.32708874551
05016;LA BATIE MONTSALEON;05700;;LA BATIE MONTSALEON;44.4559449966,5.74903304625
04145;PEIPIN;04200;LES BONS ENFANTS;PEIPIN;44.1413026547,5.9437147381
05039;AUBESSAGNE;05800;CHAUFFAYER;AUBESSAGNE;44.7581501379,6.01187494014
04161;MEOLANS REVEL;04340;REVEL;MEOLANS REVEL;44.3714312017,6.49846404885
05050;ESPINASSES;05190;;ESPINASSES;44.4931786054,6.23271348149
04166;RIEZ;04500;;RIEZ;43.8284587474,6.08237819985
05053;GARDE COLOMBE;05300;ST GENIS;GARDE COLOMBE;44.3570512046,5.78336490177
04167;LA ROBINE SUR GALABRE;04000;;LA ROBINE SUR GALABRE;44.1927329945,6.23038435702
05056;FOREST ST JULIEN;05260;;FOREST ST JULIEN;44.6298014381,6.14107531251
04167;LA ROBINE SUR GALABRE;04000;AINAC;LA ROBINE SUR GALABRE;44.1927329945,6.23038435702
05059;LA FREISSINOUSE;05000;;LA FREISSINOUSE;44.535534165,6.00812804583
04167;LA ROBINE SUR GALABRE;04000;LAMBERT;LA ROBINE SUR GALABRE;44.1927329945,6.23038435702
05061;GAP;05000;;GAP;44.5798600596,6.06486052138
04167;LA ROBINE SUR GALABRE;04000;TANARON;LA ROBINE SUR GALABRE;44.1927329945,6.23038435702
05072;LAYE;05500;;LAYE;44.6417417308,6.07103943315
04171;ROUGON;04120;;ROUGON;43.7966594802,6.39318145128
05089;MONTROND;05700;;MONTROND;44.3867626789,5.74626176371
04184;ST JURS;04410;;ST JURS;43.8990474204,6.19288088982
05095;LE NOYER;05500;;LE NOYER;44.6999993894,6.00102694215
04190;ST MARTIN LES EAUX;04300;;ST MARTIN LES EAUX;43.8719702944,5.74137178032
05099;OZE;05400;;OZE;44.5058294764,5.79875486134
